source_paper_id,source_title,rank,similar_paper_id,similar_title,similarity_score
P17,"Achilles Pain, Stiffness, and Muscle Power Deficits: Midportion Achilles Tendinopathy Revision 2024 - Clinical Practice Guidelines",1,P20,Heel Pain - Plantar Fasciitis: Revision 2023 - Clinical Practice Guidelines,0.758861
P17,"Achilles Pain, Stiffness, and Muscle Power Deficits: Midportion Achilles Tendinopathy Revision 2024 - Clinical Practice Guidelines",2,P18,Rehabilitation following operative treatment of acute Achilles tendon ruptures: a systematic review and meta-analysis,0.692124
P17,"Achilles Pain, Stiffness, and Muscle Power Deficits: Midportion Achilles Tendinopathy Revision 2024 - Clinical Practice Guidelines",3,P19,A Review of Patellar Tendinopathy in Athletes Involved in Jumping Sports,0.576246
P18,Rehabilitation following operative treatment of acute Achilles tendon ruptures: a systematic review and meta-analysis,1,P17,"Achilles Pain, Stiffness, and Muscle Power Deficits: Midportion Achilles Tendinopathy Revision 2024 - Clinical Practice Guidelines",0.692124
P18,Rehabilitation following operative treatment of acute Achilles tendon ruptures: a systematic review and meta-analysis,2,P28,Ankle Strength and Force Sense After a Progressive 6-Week Strength-Training Program in People With Functional Ankle Instability,0.669786
P18,Rehabilitation following operative treatment of acute Achilles tendon ruptures: a systematic review and meta-analysis,3,P11,Which Functional Tests and Self-Reported Questionnaires Can Help Clinicians Make Valid Return to Sport Decisions in Patients With Chronic Ankle Instability? A Narrative Review and Expert Opinion,0.584773
P19,A Review of Patellar Tendinopathy in Athletes Involved in Jumping Sports,1,P04,Knee injuries in volleyball - a review of the articles,0.611283
P19,A Review of Patellar Tendinopathy in Athletes Involved in Jumping Sports,2,P24,Return to Play after Posterior Cruciate Ligament Injuries,0.583596
P19,A Review of Patellar Tendinopathy in Athletes Involved in Jumping Sports,3,P17,"Achilles Pain, Stiffness, and Muscle Power Deficits: Midportion Achilles Tendinopathy Revision 2024 - Clinical Practice Guidelines",0.576246
P20,Heel Pain - Plantar Fasciitis: Revision 2023 - Clinical Practice Guidelines,1,P17,"Achilles Pain, Stiffness, and Muscle Power Deficits: Midportion Achilles Tendinopathy Revision 2024 - Clinical Practice Guidelines",0.758861
P20,Heel Pain - Plantar Fasciitis: Revision 2023 - Clinical Practice Guidelines,2,P18,Rehabilitation following operative treatment of acute Achilles tendon ruptures: a systematic review and meta-analysis,0.546838
P20,Heel Pain - Plantar Fasciitis: Revision 2023 - Clinical Practice Guidelines,3,P06,Clinical and Radiological Changes of Ankle in Knee Osteoarthritis With Varus After Total Knee Arthroplasty: A Systematic Review,0.537379
P21,Criteria and Guidelines for Returning to Running Following a Tibial Bone Stress Injury: A Scoping Review,1,P22,"Medial Tibial Stress Syndrome: A Scoping Review of Epidemiology, Biomechanics, and Risk Factors",0.737936
P21,Criteria and Guidelines for Returning to Running Following a Tibial Bone Stress Injury: A Scoping Review,2,P09,Return to Play After a Lateral Ligament Ankle Sprain,0.574262
P21,Criteria and Guidelines for Returning to Running Following a Tibial Bone Stress Injury: A Scoping Review,3,P18,Rehabilitation following operative treatment of acute Achilles tendon ruptures: a systematic review and meta-analysis,0.567664
P22,"Medial Tibial Stress Syndrome: A Scoping Review of Epidemiology, Biomechanics, and Risk Factors",1,P21,Criteria and Guidelines for Returning to Running Following a Tibial Bone Stress Injury: A Scoping Review,0.737936
P22,"Medial Tibial Stress Syndrome: A Scoping Review of Epidemiology, Biomechanics, and Risk Factors",2,P10,The epidemiology of chronic ankle instability with perceived ankle instability - a systematic review,0.636475
P22,"Medial Tibial Stress Syndrome: A Scoping Review of Epidemiology, Biomechanics, and Risk Factors",3,P09,Return to Play After a Lateral Ligament Ankle Sprain,0.600818
P23,"Meniscus Tears in Elite Athletes: Treatment Considerations, Clinical Outcomes, and Return to Play",1,P04,Knee injuries in volleyball - a review of the articles,0.682145
P23,"Meniscus Tears in Elite Athletes: Treatment Considerations, Clinical Outcomes, and Return to Play",2,P03,Non-operative Management of Acute Knee Injuries,0.620187
P23,"Meniscus Tears in Elite Athletes: Treatment Considerations, Clinical Outcomes, and Return to Play",3,P09,Return to Play After a Lateral Ligament Ankle Sprain,0.595038
P24,Return to Play after Posterior Cruciate Ligament Injuries,1,P09,Return to Play After a Lateral Ligament Ankle Sprain,0.645916
P24,Return to Play after Posterior Cruciate Ligament Injuries,2,P08,"Stiff Landings, Core Stability, and Dynamic Knee Valgus: A Systematic Review on Documented ACL Ruptures in Male and Female Athletes",0.640827
P24,Return to Play after Posterior Cruciate Ligament Injuries,3,P04,Knee injuries in volleyball - a review of the articles,0.609515
P25,Plantar Fasciitis in Soccer Players - A Systematic Review,1,P16,Indirect Rectus Femoris Injury Mechanisms in Professional Soccer Players: Video Analysis and Magnetic Resonance Imaging Findings,0.656525
P25,Plantar Fasciitis in Soccer Players - A Systematic Review,2,P04,Knee injuries in volleyball - a review of the articles,0.598129
P25,Plantar Fasciitis in Soccer Players - A Systematic Review,3,P15,Risk Factors for Quadriceps Muscle Strain Injuries in Sport: A Systematic Review,0.581549
P26,Stress fractures of the base of the metatarsal bones in young trainee ballet dancers,1,P09,Return to Play After a Lateral Ligament Ankle Sprain,0.539366
P26,Stress fractures of the base of the metatarsal bones in young trainee ballet dancers,2,P22,"Medial Tibial Stress Syndrome: A Scoping Review of Epidemiology, Biomechanics, and Risk Factors",0.484903
P26,Stress fractures of the base of the metatarsal bones in young trainee ballet dancers,3,P28,Ankle Strength and Force Sense After a Progressive 6-Week Strength-Training Program in People With Functional Ankle Instability,0.474446
P27,The Role of Ankle Proprioception for Balance Control in relation to Sports Performance and Injury,1,P28,Ankle Strength and Force Sense After a Progressive 6-Week Strength-Training Program in People With Functional Ankle Instability,0.617202
P27,The Role of Ankle Proprioception for Balance Control in relation to Sports Performance and Injury,2,P11,Which Functional Tests and Self-Reported Questionnaires Can Help Clinicians Make Valid Return to Sport Decisions in Patients With Chronic Ankle Instability? A Narrative Review and Expert Opinion,0.602368
P27,The Role of Ankle Proprioception for Balance Control in relation to Sports Performance and Injury,3,P10,The epidemiology of chronic ankle instability with perceived ankle instability - a systematic review,0.520904
P28,Ankle Strength and Force Sense After a Progressive 6-Week Strength-Training Program in People With Functional Ankle Instability,1,P10,The epidemiology of chronic ankle instability with perceived ankle instability - a systematic review,0.716947
P28,Ankle Strength and Force Sense After a Progressive 6-Week Strength-Training Program in People With Functional Ankle Instability,2,P11,Which Functional Tests and Self-Reported Questionnaires Can Help Clinicians Make Valid Return to Sport Decisions in Patients With Chronic Ankle Instability? A Narrative Review and Expert Opinion,0.708575
P28,Ankle Strength and Force Sense After a Progressive 6-Week Strength-Training Program in People With Functional Ankle Instability,3,P18,Rehabilitation following operative treatment of acute Achilles tendon ruptures: a systematic review and meta-analysis,0.669786
P29,Does a bounding exercise program prevent hamstring injuries in adult male soccer players? A cluster-RCT,1,P13,Exploring the Role of Sprint Biomechanics in Hamstring Strain Injuries: A Current Opinion on Existing Concepts and Evidence,0.771141
P29,Does a bounding exercise program prevent hamstring injuries in adult male soccer players? A cluster-RCT,2,P12,Hamstring Strain Injury in Athletes: Clinical Practice Guidelines Linked to the ICF,0.714205
P29,Does a bounding exercise program prevent hamstring injuries in adult male soccer players? A cluster-RCT,3,P15,Risk Factors for Quadriceps Muscle Strain Injuries in Sport: A Systematic Review,0.639817
P30,Value of Sonography Combined With Clinical Assessment to Evaluate Muscle Injury Severity in Athletes,1,P16,Indirect Rectus Femoris Injury Mechanisms in Professional Soccer Players: Video Analysis and Magnetic Resonance Imaging Findings,0.603249
P30,Value of Sonography Combined With Clinical Assessment to Evaluate Muscle Injury Severity in Athletes,2,P15,Risk Factors for Quadriceps Muscle Strain Injuries in Sport: A Systematic Review,0.597859
P30,Value of Sonography Combined With Clinical Assessment to Evaluate Muscle Injury Severity in Athletes,3,P24,Return to Play after Posterior Cruciate Ligament Injuries,0.551743
